seccion,segmento,Estacion
10.0,230.0,Carrasco
10.0,319.0,Carrasco
10.0,231.0,Carrasco
10.0,232.0,Carrasco
10.0,233.0,Carrasco
10.0,234.0,Carrasco
10.0,235.0,Carrasco
10.0,236.0,Carrasco
10.0,237.0,Carrasco
10.0,320.0,Carrasco
15.0,112.0,Prado
10.0,238.0,Carrasco
10.0,239.0,Carrasco
10.0,246.0,Carrasco
10.0,248.0,Carrasco
10.0,249.0,Carrasco
10.0,250.0,Carrasco
10.0,268.0,Carrasco
10.0,316.0,Prado
10.0,328.0,Carrasco
10.0,333.0,Carrasco
10.0,338.0,Carrasco
10.0,419.0,Carrasco
10.0,428.0,Carrasco
15.0,103.0,Prado
10.0,438.0,Carrasco
10.0,519.0,Carrasco
10.0,538.0,Carrasco
11.0,1.0,Prado
11.0,2.0,Prado
11.0,3.0,Prado
11.0,4.0,Prado
11.0,5.0,Prado
11.0,8.0,Prado
11.0,10.0,Prado
11.0,12.0,Prado
11.0,13.0,Prado
11.0,15.0,Prado
11.0,16.0,Prado
11.0,17.0,Prado
11.0,18.0,Prado
11.0,19.0,Prado
11.0,20.0,Prado
11.0,28.0,Prado
11.0,31.0,Prado
11.0,32.0,Prado
11.0,59.0,Carrasco
11.0,60.0,Prado
11.0,61.0,Prado
15.0,104.0,Prado
11.0,62.0,Carrasco
11.0,69.0,Carrasco
11.0,78.0,Prado
11.0,79.0,Prado
11.0,80.0,Melilla
11.0,81.0,Melilla
11.0,135.0,Prado
11.0,73.0,Carrasco
11.0,74.0,Carrasco
11.0,76.0,Carrasco
11.0,82.0,Melilla
11.0,83.0,Prado
11.0,84.0,Prado
11.0,85.0,Carrasco
11.0,136.0,Prado
11.0,137.0,Prado
11.0,88.0,Prado
11.0,90.0,Prado
11.0,95.0,Carrasco
11.0,91.0,Carrasco
11.0,92.0,Prado
11.0,93.0,Carrasco
11.0,106.0,Prado
11.0,107.0,Prado
11.0,109.0,Prado
11.0,111.0,Prado
11.0,114.0,Prado
11.0,129.0,Prado
11.0,130.0,Prado
11.0,133.0,Prado
11.0,94.0,Carrasco
11.0,134.0,Prado
11.0,138.0,Prado
15.0,105.0,Prado
11.0,97.0,Carrasco
11.0,99.0,Prado
11.0,163.0,Carrasco
11.0,168.0,Carrasco
11.0,186.0,Prado
11.0,187.0,Prado
11.0,196.0,Carrasco
11.0,235.0,Prado
15.0,106.0,Prado
11.0,189.0,Prado
11.0,233.0,Prado
11.0,234.0,Prado
15.0,107.0,Prado
11.0,198.0,Carrasco
11.0,206.0,Prado
11.0,207.0,Prado
