seccion,segmento,Año,Mes,TMaxPromedio,TMinPromedio,TMaxRegistrada,TMinRegistrada,TMaxDesviacion,TMinDesviacion
1.0,1.0,2018,9,20.4,12.2,29.4,5.4,3.3,2.5
1.0,1.0,2018,10,20.7,12.4,29.0,4.8,4.1,3.0
1.0,1.0,2018,11,24.7,15.8,33.4,9.0,4.5,2.8
1.0,1.0,2018,12,25.0,16.6,32.2,9.7,4.4,3.1
1.0,1.0,2019,1,27.9,19.7,35.6,14.0,3.8,3.0
1.0,1.0,2019,2,27.2,17.9,34.4,11.5,4.7,3.7
1.0,1.0,2019,3,24.1,16.8,33.2,10.4,3.4,2.6
1.0,1.0,2019,4,22.6,13.8,30.1,7.7,3.4,2.7
1.0,1.0,2019,5,19.3,11.5,25.1,6.4,2.8,2.8
1.0,1.0,2019,6,17.9,10.7,23.0,4.6,2.5,3.4
1.0,1.0,2019,7,15.0,7.3,26.6,0.5,4.2,3.1
1.0,1.0,2019,8,15.8,8.2,26.3,2.5,4.6,3.0
1.0,1.0,2019,9,17.7,8.8,27.6,3.8,4.9,2.9
1.0,1.0,2019,10,19.7,12.4,29.0,6.6,4.7,3.3
1.0,1.0,2019,11,25.7,16.3,34.2,11.6,3.7,2.3
1.0,1.0,2019,12,27.4,17.1,35.0,12.2,4.7,3.0
1.0,2.0,2013,1,28.0,18.8,34.4,11.9,3.6,2.7
1.0,2.0,2013,2,26.7,18.1,33.5,11.9,3.8,3.1
1.0,2.0,2013,3,23.2,14.7,30.4,10.0,3.5,3.3
1.0,2.0,2013,4,22.5,13.9,26.7,7.7,3.0,3.1
1.0,2.0,2013,5,18.1,10.8,24.6,4.3,3.3,2.9
1.0,2.0,2013,6,16.0,7.4,23.8,0.1,3.6,3.4
1.0,2.0,2013,7,14.8,7.2,23.2,2.0,4.6,3.6
1.0,2.0,2013,8,15.5,6.8,25.9,0.6,5.6,3.5
1.0,2.0,2013,9,17.5,10.3,31.9,5.2,5.8,4.3
1.0,2.0,2013,10,21.0,12.0,27.6,5.5,4.0,3.0
1.0,2.0,2013,11,23.6,15.5,32.8,9.6,4.3,2.4
1.0,2.0,2013,12,30.0,19.3,38.1,12.0,5.0,3.7
1.0,2.0,2014,1,28.1,20.1,36.6,13.5,4.6,2.9
1.0,2.0,2014,2,26.0,19.2,35.4,14.0,3.7,1.9
1.0,2.0,2014,3,24.3,15.9,30.2,8.3,3.0,2.7
1.0,2.0,2014,4,21.8,13.4,29.0,6.4,3.1,4.3
1.0,2.0,2014,5,17.8,11.1,22.8,2.5,2.7,3.5
