Estacion,Fecha,Tmax,Tmin
Carrasco ,1/1/2013 0:00,22.8,15.2
Carrasco ,1/2/2013 0:00,19.6,12.5
Carrasco ,1/3/2013 0:00,25,10.2
Carrasco ,1/4/2013 0:00,29.3,17.2
Carrasco ,1/5/2013 0:00,32.5,19.5
Carrasco ,1/6/2013 0:00,29,20
Carrasco ,1/7/2013 0:00,31,19
Carrasco ,1/8/2013 0:00,26.9,22
Carrasco ,1/9/2013 0:00,27.4,17.5
Carrasco ,1/10/2013 0:00,28,14.8
Carrasco ,1/11/2013 0:00,30.2,15.4
Carrasco ,1/12/2013 0:00,29.8,17
Carrasco ,1/13/2013 0:00,28.4,18
Carrasco ,1/14/2013 0:00,26.8,16.8
Carrasco ,1/15/2013 0:00,27.4,18
Carrasco ,1/16/2013 0:00,29.6,18
Carrasco ,1/17/2013 0:00,25.8,20.5
Carrasco ,1/18/2013 0:00,27.6,18.5
Carrasco ,1/19/2013 0:00,24,19.5
Carrasco ,1/20/2013 0:00,24.4,15
Carrasco ,1/21/2013 0:00,25,15.2
Carrasco ,1/22/2013 0:00,27.7,17
Carrasco ,1/23/2013 0:00,30.4,20.4
Carrasco ,1/24/2013 0:00,32,18.6
Carrasco ,1/25/2013 0:00,20.8,16.9
Carrasco ,1/26/2013 0:00,25.7,11
Carrasco ,1/27/2013 0:00,30,13.5
Carrasco ,1/28/2013 0:00,33.6,18.4
Carrasco ,1/29/2013 0:00,33.8,20
Carrasco ,1/30/2013 0:00,29.2,20.5
Carrasco ,1/31/2013 0:00,27.8,22.5
Carrasco ,2/1/2013 0:00,34.6,21.6
Carrasco ,2/2/2013 0:00,26.8,20
Carrasco ,2/3/2013 0:00,21.6,17.2
Carrasco ,2/4/2013 0:00,23.2,9.9
Carrasco ,2/5/2013 0:00,27.3,13.6
Carrasco ,2/6/2013 0:00,28,15
Carrasco ,2/7/2013 0:00,26.4,16.6
Carrasco ,2/8/2013 0:00,28,16.5
Carrasco ,2/9/2013 0:00,27.2,18.5
Carrasco ,2/10/2013 0:00,30.2,21.2
Carrasco ,2/11/2013 0:00,27,21.2
Carrasco ,2/12/2013 0:00,31.8,20.2
Carrasco ,2/13/2013 0:00,30,20.2
Carrasco ,2/14/2013 0:00,28.2,20
Carrasco ,2/15/2013 0:00,28,19
Carrasco ,2/16/2013 0:00,32,20
Carrasco ,2/17/2013 0:00,29.8,21.4
Carrasco ,2/18/2013 0:00,22.6,19
Carrasco ,2/19/2013 0:00,23,15.6
Carrasco ,2/20/2013 0:00,23.3,18.2
Carrasco ,2/21/2013 0:00,22.4,18
Carrasco ,2/22/2013 0:00,24.8,15.5
Carrasco ,2/23/2013 0:00,29,16
Carrasco ,2/24/2013 0:00,24.8,19.6
Carrasco ,2/25/2013 0:00,21,18.4
Carrasco ,2/26/2013 0:00,20,15.8
Carrasco ,2/27/2013 0:00,21.6,11.7
Carrasco ,2/28/2013 0:00,21.2,10.6
Carrasco ,3/1/2013 0:00,28.2,12.6
Carrasco ,3/2/2013 0:00,25.2,18
Carrasco ,3/3/2013 0:00,21.2,15.5
Carrasco ,3/4/2013 0:00,19.7,15.5
Carrasco ,3/5/2013 0:00,22,11.2
Carrasco ,3/6/2013 0:00,27,11.6
Carrasco ,3/7/2013 0:00,26.7,15.4
Carrasco ,3/8/2013 0:00,29,19.2
Carrasco ,3/9/2013 0:00,30.2,19
Carrasco ,3/10/2013 0:00,23.4,18.3
Carrasco ,3/11/2013 0:00,26.4,13
Carrasco ,3/12/2013 0:00,20.3,14
Carrasco ,3/13/2013 0:00,20.6,8.4
Carrasco ,3/14/2013 0:00,17.9,10
Carrasco ,3/15/2013 0:00,18.9,8
Carrasco ,3/16/2013 0:00,18.4,11.5
Carrasco ,3/17/2013 0:00,18.4,12.5
