secc,segm,pesoano,porcentaje_casas,porcentaje_pared_ladrillo,porcentaje_techo_hormigon,porcentaje_piso_con_terminacion,cant_habitaciones_prom,porcentaje_cocina_electrica,tiene_calefon_prom,cant_televisores_prom,ingresos_hogar_prom,cant_ac_prom,porcentaje_calefaccio_electrica
8.0,214.0,279.0,0.0,1.0,1.0,1.0,2.806451612903226,0.0,0.8387096774193549,0.8279569892473119,50522.72401433692,0.07885304659498207,0.09
8.0,314.0,478.0,0.6778242677824268,1.0,1.0,1.0,2.8347280334728033,0.09,0.9267782426778243,0.7928870292887029,64122.53661087866,0.29707112970711297,0.31
9.0,1.0,423.0,1.0,0.8959810874704491,0.38534278959810875,0.8132387706855791,3.099290780141844,0.19,0.7423167848699763,0.8108747044917257,51298.50197005516,0.30969267139479906,0.21
9.0,2.0,502.0,1.0,1.0,0.34462151394422313,0.8326693227091634,3.5796812749003983,0.0,0.8366533864541833,0.7928286852589641,77380.94223107569,0.599601593625498,0.13
9.0,3.0,497.0,1.0,1.0,0.6116700201207244,0.89738430583501,3.3038229376257546,0.0,1.0,0.9074446680080482,68309.8554661301,0.38028169014084506,0.31
9.0,5.0,645.0,0.6356589147286822,1.0,0.641860465116279,0.8124031007751938,3.462015503875969,0.0,1.0,0.8527131782945736,67642.47906976745,0.4682170542635659,0.28
9.0,7.0,112.0,1.0,1.0,1.0,1.0,3.4107142857142856,0.0,1.0,1.0,71827.81398809524,2.169642857142857,0.0
9.0,8.0,324.0,1.0,1.0,0.7962962962962963,1.0,3.9814814814814814,0.0,1.0,0.9074074074074074,72280.49074074074,0.7561728395061729,0.3
9.0,9.0,614.0,0.3973941368078176,1.0,0.9348534201954397,1.0,3.8159609120521174,0.23,0.8990228013029316,0.8599348534201955,61944.075461454944,0.7149837133550488,0.36
9.0,10.0,435.0,1.0,1.0,0.7402298850574712,1.0,3.7448275862068967,0.04,0.903448275862069,1.0,109495.23601532569,0.7931034482758621,0.47
9.0,11.0,311.0,1.0,1.0,0.6527331189710611,0.8713826366559485,3.485530546623794,0.0,1.0,1.0,80223.59592711684,1.247588424437299,0.22
9.0,15.0,286.0,1.0,1.0,0.36713286713286714,0.5174825174825175,2.979020979020979,0.0,0.9230769230769231,0.7132867132867133,46625.02762237762,0.36713286713286714,0.0
9.0,16.0,163.0,1.0,1.0,0.8098159509202454,1.0,2.7300613496932513,0.22,1.0,0.7791411042944786,44312.877300613494,0.12269938650306748,0.61
9.0,18.0,261.0,0.0,1.0,1.0,1.0,3.3984674329501914,0.1,1.0,0.8007662835249042,57047.358237547895,0.08812260536398467,0.28
9.0,21.0,779.0,0.9024390243902439,1.0,0.82798459563543,1.0,3.92811296534018,0.0,1.0,0.9293966623876765,98530.62729995721,0.982028241335045,0.24
9.0,22.0,372.0,0.771505376344086,1.0,0.7526881720430108,1.0,3.7768817204301075,0.14,1.0,0.8870967741935484,121320.95340501792,1.8064516129032258,0.29
9.0,24.0,223.0,1.0,1.0,0.9237668161434978,1.0,3.726457399103139,0.1,1.0,0.8565022421524664,95259.39013452915,1.1704035874439462,0.56
9.0,25.0,339.0,1.0,0.9469026548672567,0.5132743362831859,0.6283185840707964,2.831858407079646,0.0,0.5368731563421829,0.640117994100295,70838.77669616518,0.0,0.09
9.0,26.0,409.0,1.0,1.0,0.41075794621026895,0.6992665036674817,2.965770171149144,0.09,0.6943765281173594,0.6699266503667481,51606.84678076609,0.33251833740831294,0.49
9.0,27.0,659.0,1.0,1.0,0.7223065250379362,0.866464339908953,3.7025796661608497,0.07,0.91350531107739,0.9013657056145675,85924.58472432979,0.9620637329286799,0.21
9.0,28.0,540.0,1.0,1.0,0.5074074074074074,0.9425925925925925,3.501851851851852,0.0,0.8611111111111112,0.9222222222222223,85217.03209876543,0.9851851851851852,0.34
9.0,29.0,453.0,1.0,1.0,0.434878587196468,0.9139072847682119,3.1125827814569536,0.0,0.8322295805739515,0.7240618101545254,63403.603384841794,0.5143487858719646,0.17
9.0,30.0,193.0,1.0,1.0,1.0,1.0,4.0880829015544045,0.24,1.0,1.0,108311.8860103627,1.3626943005181347,0.5
9.0,31.0,303.0,1.0,1.0,0.6171617161716172,0.7095709570957096,3.6468646864686467,0.0,0.8514851485148515,0.6303630363036303,66048.51815181518,0.2508250825082508,0.29
9.0,32.0,549.0,1.0,1.0,0.5846994535519126,0.8233151183970856,3.2641165755919856,0.0,0.7176684881602914,0.7340619307832422,74878.37249544627,0.3788706739526412,0.3
9.0,33.0,707.0,1.0,1.0,0.5884016973125884,1.0,3.748231966053748,0.03,0.9292786421499293,0.7920792079207921,74439.24611032532,0.41725601131541723,0.17
9.0,34.0,569.0,1.0,1.0,0.6836555360281195,0.9578207381370826,3.4182776801405974,0.14,0.9472759226713533,0.7223198594024605,83888.69888693614,0.4938488576449912,0.2
9.0,35.0,178.0,1.0,1.0,0.601123595505618,0.601123595505618,3.955056179775281,0.0,1.0,0.8820224719101124,90461.62921348315,0.8426966292134831,0.0
9.0,37.0,421.0,1.0,1.0,0.35629453681710216,0.5938242280285035,3.1092636579572446,0.17,0.9334916864608076,0.7007125890736342,58467.30522565321,0.5771971496437055,0.26
9.0,47.0,1608.0,1.0,0.9552238805970149,0.48258706467661694,0.6442786069651741,3.0727611940298507,0.05,0.7493781094527363,0.6772388059701493,51850.65764925373,0.31654228855721395,0.38
9.0,117.0,1062.0,0.8116760828625236,0.9613935969868174,0.5386064030131826,0.8210922787193974,3.5800376647834273,0.09,0.9171374764595104,0.8248587570621468,93550.43204645324,0.6186440677966102,0.45
9.0,217.0,1321.0,0.0,1.0,0.975775927327782,0.9167297501892505,3.585919757759273,0.0,1.0,0.8576835730507192,67135.59159727479,0.32323996971990915,0.39
9.0,255.0,891.0,0.9640852974186308,0.9741863075196409,0.7149270482603816,0.835016835016835,3.5611672278338946,0.05,0.9494949494949495,0.9236812570145904,74059.57145529367,0.5757575757575758,0.22
10.0,4.0,499.0,0.8917835671342685,1.0,0.685370741482966,1.0,2.9158316633266534,0.06,0.8957915831663327,0.8176352705410822,67078.13907815631,0.4148296593186373,0.27
10.0,5.0,539.0,0.5157699443413729,1.0,0.935064935064935,1.0,3.4675324675324677,0.04,1.0,0.8089053803339518,77868.73469387754,0.4582560296846011,0.15
10.0,6.0,602.0,1.0,0.9302325581395349,0.5348837209302325,1.0,3.8322259136212624,0.15,0.9269102990033222,0.9601328903654485,97891.09551495017,0.8704318936877077,0.31
10.0,8.0,381.0,0.5091863517060368,1.0,0.9133858267716536,1.0,2.9186351706036744,0.0,0.89501312335958,1.0,57105.31146106736,0.3569553805774278,0.15
10.0,9.0,750.0,0.54,1.0,0.9706666666666667,1.0,3.1773333333333333,0.0,1.0,0.9333333333333333,69987.21066666667,0.42,0.23
10.0,12.0,350.0,0.9285714285714286,1.0,1.0,1.0,3.4285714285714284,0.11,1.0,0.9114285714285715,79253.66285714286,1.3742857142857143,0.56
10.0,15.0,774.0,0.3888888888888889,1.0,1.0,1.0,3.511627906976744,0.08,1.0,1.0,111776.72006890613,0.8501291989664083,0.51
10.0,21.0,420.0,0.8666666666666667,1.0,0.9071428571428571,1.0,2.7095238095238097,0.0,0.9071428571428571,0.8761904761904762,89087.43650793651,0.5547619047619048,0.16
10.0,40.0,922.0,0.4598698481561822,1.0,0.8221258134490239,0.9219088937093276,3.3026030368763557,0.15,0.9804772234273319,0.8839479392624728,106755.01156905277,1.1127982646420824,0.65
10.0,41.0,747.0,0.5876840696117804,1.0,1.0,1.0,4.136546184738956,0.12,1.0,1.0,160805.85676037482,1.7309236947791165,0.48
10.0,42.0,704.0,0.2159090909090909,1.0,1.0,1.0,3.9801136363636362,0.2,0.9815340909090909,1.0,155087.1453598485,1.4332386363636365,0.7
10.0,43.0,682.0,0.6979472140762464,1.0,1.0,1.0,3.0791788856304985,0.23,1.0,1.0,107537.9560117302,0.8695014662756598,0.37
10.0,44.0,759.0,0.8840579710144928,1.0,1.0,1.0,3.897233201581028,0.1,1.0,1.0,143973.31927975407,1.7509881422924902,0.48
10.0,45.0,570.0,0.49473684210526314,1.0,1.0,1.0,3.9771929824561405,0.17,0.9526315789473684,0.9385964912280702,147105.24970760234,1.4421052631578948,0.66
10.0,47.0,377.0,0.6180371352785146,1.0,1.0,1.0,3.594164456233422,0.19,0.9124668435013262,1.0,147617.34924845272,1.610079575596817,0.41
10.0,51.0,472.0,0.9661016949152542,1.0,0.934322033898305,1.0,4.84957627118644,0.31,0.9449152542372882,1.0,198302.5268361582,2.23728813559322,0.16
10.0,52.0,780.0,0.7551282051282051,1.0,1.0,1.0,4.317948717948718,0.25,0.9397435897435897,0.9794871794871794,157412.1405982906,1.523076923076923,0.48
10.0,53.0,662.0,0.9788519637462235,1.0,0.9546827794561934,1.0,4.719033232628399,0.09,0.7990936555891238,0.9622356495468278,245254.13544813695,2.107250755287009,0.31
10.0,54.0,816.0,1.0,1.0,1.0,1.0,5.359068627450981,0.05,0.9656862745098039,0.9779411764705882,254048.8480392157,2.4963235294117645,0.49
10.0,55.0,507.0,1.0,0.9428007889546351,0.9428007889546351,1.0,4.988165680473373,0.29,0.903353057199211,1.0,223505.4056541749,1.78698224852071,0.56
10.0,56.0,154.0,1.0,1.0,1.0,1.0,3.564935064935065,0.25,1.0,1.0,143879.16883116882,0.7012987012987013,0.0
10.0,57.0,134.0,1.0,1.0,1.0,1.0,4.350746268656716,0.3,1.0,1.0,92064.44278606965,1.462686567164179,0.47
10.0,58.0,568.0,1.0,1.0,0.9419014084507042,1.0,4.954225352112676,0.0,0.8926056338028169,1.0,215869.36502347418,3.01056338028169,0.35
10.0,59.0,818.0,1.0,1.0,1.0,1.0,5.06356968215159,0.11,0.921760391198044,0.980440097799511,192569.4062754686,2.243276283618582,0.37
10.0,60.0,143.0,1.0,1.0,0.7692307692307693,1.0,4.6573426573426575,0.0,1.0,1.0,157388.62937062938,0.14685314685314685,0.0
10.0,61.0,469.0,0.8997867803837953,1.0,0.9339019189765458,1.0,5.081023454157783,0.09,0.9381663113006397,0.9658848614072495,192614.23631840796,1.7718550106609807,0.43
10.0,62.0,464.0,0.9568965517241379,1.0,1.0,1.0,5.752155172413793,0.12,0.8793103448275862,1.0,230012.8908045977,2.4698275862068964,0.41
10.0,63.0,373.0,0.613941018766756,1.0,1.0,1.0,5.198391420911528,0.11,1.0,1.0,226233.5987488829,2.099195710455764,0.37
10.0,64.0,928.0,0.9364224137931034,1.0,1.0,1.0,5.747844827586207,0.17,0.9170258620689655,1.0,247217.74353448275,2.9558189655172415,0.27
10.0,65.0,650.0,0.8538461538461538,1.0,0.9569230769230769,1.0,4.821538461538461,0.06,0.9138461538461539,0.9384615384615385,186650.94923076924,2.0153846153846153,0.31
10.0,66.0,82.0,1.0,1.0,1.0,1.0,5.585365853658536,0.22,1.0,1.0,328314.2845528456,3.268292682926829,0.0
10.0,72.0,150.0,0.5066666666666667,1.0,1.0,1.0,5.78,0.0,0.5933333333333334,1.0,292162.3044444445,1.42,0.28
10.0,73.0,410.0,0.9609756097560975,1.0,1.0,1.0,6.626829268292683,0.2,0.9341463414634147,1.0,474376.72764227644,2.526829268292683,0.26
10.0,74.0,182.0,0.7087912087912088,1.0,1.0,1.0,5.868131868131868,0.0,1.0,1.0,275724.6446886447,1.967032967032967,0.54
10.0,75.0,158.0,0.43670886075949367,1.0,1.0,1.0,5.1075949367088604,0.25,0.8734177215189873,1.0,254220.24472573842,3.310126582278481,0.43
10.0,76.0,319.0,1.0,1.0,1.0,1.0,6.200626959247649,0.13,0.8056426332288401,1.0,316125.08463949844,2.658307210031348,0.24
10.0,77.0,141.0,0.624113475177305,1.0,1.0,1.0,5.460992907801418,0.0,1.0,1.0,269271.06855791964,2.0141843971631204,0.59
10.0,78.0,199.0,0.7738693467336684,1.0,1.0,1.0,5.688442211055277,0.14,1.0,1.0,216181.49246231155,2.6331658291457285,0.21
10.0,101.0,586.0,0.27474402730375425,1.0,1.0,1.0,2.8805460750853245,0.04,1.0,0.8481228668941979,92745.79351535837,0.5870307167235495,0.41
10.0,102.0,307.0,0.8534201954397395,1.0,0.6872964169381107,0.9022801302931596,3.224755700325733,0.0,1.0,0.9055374592833876,99207.61563517916,0.6644951140065146,0.34
10.0,103.0,187.0,0.6684491978609626,1.0,1.0,1.0,2.978609625668449,0.0,1.0,1.0,72623.0944741533,0.7700534759358288,0.51
