seccion,segmento,año,nivel_economico_hogar_prom,porcentaje_casas,porcentaje_pared_ladrillo,porcentaje_techo_hormigon,porcentaje_piso_con_terminacion,cant_habitaciones_prom,porcentaje_cocina_electrica,tiene_calefon_prom,cant_televisores_prom,ingresos_hogar_prom,cant_ac_prom,porcentaje_calefaccio_electrica
1.0,1.0,2017,0.5,0.2719449225473322,1.0,0.9414802065404475,1.0,3.055077452667814,0.06,0.9414802065404475,0.919104991394148,49045.8734939759,0.6161790017211703,0.5
1.0,3.0,2017,0.5,0.0,1.0,1.0,1.0,3.015748031496063,0.1,1.0,1.0551181102362204,60586.90638670167,0.6771653543307087,0.15
1.0,104.0,2017,0.5,0.0,1.0,1.0,1.0,2.7265625,0.0,1.0,0.9140625,70828.296875,0.390625,0.73
1.0,105.0,2017,0.75,0.18446601941747573,1.0,1.0,1.0,2.383495145631068,0.0,0.8689320388349514,1.4514563106796117,62715.343042071196,0.0,0.07
1.0,204.0,2017,0.5,0.0,1.0,1.0,1.0,2.4346938775510205,0.04,1.0,0.8285714285714286,55239.86326530612,0.0653061224489796,0.33
1.0,205.0,2017,0.75,0.08858603066439523,1.0,1.0,1.0,3.31175468483816,0.05,1.0,1.1431005110732537,82678.72742759796,0.666098807495741,0.48
2.0,1.0,2017,0.0,0.3808255659121172,1.0,1.0,0.9800266311584553,3.1091877496671105,0.0,1.0,1.0252996005326231,65306.276298268975,0.49001331557922767,0.57
2.0,3.0,2017,0.5,0.4473684210526316,1.0,0.8733552631578947,1.0,1.875,0.0,0.5904605263157895,0.4292763157894737,51913.51589912281,0.08717105263157894,0.18
2.0,202.0,2017,0.5,0.06,1.0,1.0,1.0,2.6425,0.0,1.0,0.885,53331.085,0.5125,0.43
3.0,3.0,2017,0.5,0.31761006289308175,1.0,1.0,1.0,2.7955974842767297,0.06,1.0,0.970125786163522,62957.89150943396,0.4449685534591195,0.38
