secc,segm,pesoano,porcentaje_casas,porcentaje_pared_ladrillo,porcentaje_techo_hormigon,porcentaje_piso_con_terminacion,cant_habitaciones_prom,porcentaje_cocina_electrica,tiene_calefon_prom,cant_televisores_prom,ingresos_hogar_prom,cant_ac_prom,porcentaje_calefaccio_electrica
1.0,1.0,581.0,0.2719449225473322,1.0,0.9414802065404475,1.0,3.055077452667814,0.06,0.9414802065404475,0.7314974182444062,49045.8734939759,0.6161790017211703,0.5
1.0,3.0,381.0,0.0,1.0,1.0,1.0,3.015748031496063,0.1,1.0,0.7401574803149606,60586.90638670167,0.6771653543307087,0.15
1.0,104.0,128.0,0.0,1.0,1.0,1.0,2.7265625,0.0,1.0,0.71875,70828.296875,0.390625,0.73
1.0,105.0,206.0,0.18446601941747573,1.0,1.0,1.0,2.383495145631068,0.0,0.8689320388349514,1.0,62715.343042071196,0.0,0.07
1.0,204.0,490.0,0.0,1.0,1.0,1.0,2.4346938775510205,0.04,1.0,0.763265306122449,55239.86326530612,0.0653061224489796,0.33
1.0,205.0,587.0,0.08858603066439523,1.0,1.0,1.0,3.31175468483816,0.05,1.0,0.817717206132879,82678.72742759796,0.666098807495741,0.48
2.0,1.0,751.0,0.3808255659121172,1.0,1.0,0.9800266311584553,3.1091877496671105,0.0,1.0,0.7070572569906791,65306.276298268975,0.49001331557922767,0.57
2.0,3.0,608.0,0.4473684210526316,1.0,0.8733552631578947,1.0,1.875,0.0,0.5904605263157895,0.38651315789473684,51913.51589912281,0.08717105263157894,0.18
2.0,202.0,400.0,0.06,1.0,1.0,1.0,2.6425,0.0,1.0,0.58,53331.085,0.5125,0.43
3.0,3.0,636.0,0.31761006289308175,1.0,1.0,1.0,2.7955974842767297,0.06,1.0,0.7264150943396226,62957.89150943396,0.4449685534591195,0.38
3.0,101.0,285.0,0.7824561403508772,1.0,1.0,1.0,2.4175438596491228,0.0,0.9333333333333333,0.9333333333333333,63674.231578947365,0.30526315789473685,0.26
3.0,102.0,378.0,0.18518518518518517,1.0,1.0,1.0,3.0846560846560847,0.11,1.0,0.7486772486772487,73146.88095238095,0.3412698412698413,0.28
3.0,104.0,452.0,0.0,1.0,1.0,1.0,2.997787610619469,0.0,1.0,0.8606194690265486,82286.93879056047,0.668141592920354,0.35
3.0,202.0,137.0,0.0,1.0,1.0,1.0,4.328467153284672,0.45,1.0,1.0,141621.7785888078,0.41605839416058393,1.0
3.0,204.0,574.0,0.033101045296167246,1.0,1.0,1.0,2.3780487804878048,0.09,1.0,0.8118466898954704,88883.03193960512,0.6184668989547039,0.56
4.0,1.0,504.0,0.0,1.0,1.0,1.0,1.5615079365079365,0.27,0.9107142857142857,0.4246031746031746,68970.25529100529,0.1884920634920635,0.3
4.0,102.0,399.0,0.040100250626566414,1.0,1.0,1.0,2.744360902255639,0.13,1.0,0.7142857142857143,84911.14285714286,0.8897243107769424,0.53
4.0,103.0,1328.0,0.18072289156626506,1.0,0.920933734939759,1.0,2.7439759036144578,0.09,0.9570783132530121,0.7718373493975904,78645.25213353413,0.3983433734939759,0.41
4.0,104.0,832.0,0.06370192307692307,1.0,1.0,1.0,2.7127403846153846,0.0,0.9459134615384616,0.8641826923076923,74624.95673076923,0.5877403846153846,0.39
4.0,202.0,703.0,0.0,1.0,1.0,1.0,3.3229018492176388,0.08,1.0,0.8662873399715505,92920.89236605026,0.6173541963015647,0.66
4.0,203.0,882.0,0.049886621315192746,1.0,1.0,1.0,2.9240362811791383,0.06,0.9546485260770975,0.7857142857142857,82032.90249433107,0.9625850340136054,0.6
4.0,204.0,970.0,0.28556701030927834,1.0,1.0,1.0,3.2257731958762887,0.01,0.9649484536082474,0.8422680412371134,111903.8024054983,0.6463917525773196,0.39
5.0,101.0,594.0,0.0,1.0,1.0,1.0,3.1397306397306397,0.11,1.0,0.835016835016835,111376.31369248035,1.0420875420875422,0.45
5.0,102.0,259.0,0.0,1.0,1.0,1.0,3.833976833976834,0.0,1.0,0.7992277992277992,96827.79922779923,0.9961389961389961,0.75
5.0,103.0,493.0,0.06693711967545639,1.0,1.0,1.0,3.5720081135902637,0.0,1.0,0.9553752535496958,94295.2390128465,0.6125760649087221,0.52
5.0,104.0,242.0,0.4214876033057851,1.0,1.0,1.0,3.830578512396694,0.0,1.0,1.0,61922.19972451791,0.7107438016528925,0.13
5.0,105.0,309.0,0.0,1.0,1.0,1.0,3.2006472491909386,0.23,1.0,0.7152103559870551,90181.15641855447,0.5275080906148867,0.66
5.0,106.0,666.0,0.4219219219219219,1.0,1.0,1.0,3.165165165165165,0.07,0.96996996996997,0.7762762762762763,81141.74174174175,0.24024024024024024,0.32
5.0,201.0,589.0,0.06112054329371817,1.0,1.0,1.0,2.409168081494058,0.11,1.0,0.8471986417657046,59657.71929824561,0.20203735144312393,0.32
5.0,202.0,591.0,0.09813874788494077,1.0,1.0,1.0,4.0,0.17,1.0,0.7851099830795262,126185.59334461366,0.3942470389170897,0.36
5.0,203.0,386.0,0.10880829015544041,1.0,1.0,1.0,3.033678756476684,0.05,1.0,0.8186528497409327,87167.95379965457,0.18911917098445596,0.57
5.0,204.0,752.0,0.3377659574468085,1.0,0.9534574468085106,1.0,2.8523936170212765,0.04,1.0,0.711436170212766,70256.27836879432,0.4867021276595745,0.32
5.0,205.0,772.0,0.23316062176165803,1.0,1.0,1.0,3.0310880829015545,0.11,1.0,0.8419689119170984,71930.50820379965,0.18523316062176165,0.45
5.0,206.0,526.0,0.8536121673003803,1.0,1.0,1.0,3.420152091254753,0.0,1.0,0.7870722433460076,75394.21768060836,0.6330798479087453,0.46
6.0,101.0,457.0,0.0,1.0,1.0,1.0,2.5579868708971554,0.05,1.0,0.9518599562363238,105477.16630196937,1.0722100656455142,0.61
6.0,102.0,666.0,0.03003003003003003,1.0,1.0,1.0,2.75975975975976,0.11,0.96996996996997,0.7747747747747747,78802.6614114114,0.39039039039039036,0.39
