secc,segm,pesoano,estred13,c1%Casas,c2%Ladrillo,c3%Hormigon,c4%PisoConTerminacion,c5_4,c5_5,c5_7,c5_8,c5_9,d8_4,d9,d10,d14,d20%Electrica,d21_1,d21_2,d21_3,d21_4_1,d21_5_1,d21_9,d21_10,d21_11,d21_12,d21_13,d21_15_2,d21_15_4,d21_16,d23,d24,ht11,YHOG,pobre06,d21_14_1,d260,d260%Electrica
13.0,17.0,699.0,Montevideo Medio Bajo,1.0,1.0,0.7224606580829757,0.8583690987124464,0.0715307582260372,0.0886981402002861,0.0715307582260372,0.0743919885550786,0.0357653791130186,0.0,3.623748211731044,2.015736766809728,1.03862660944206,0.04,0.8011444921316166,0.044349070100143,0.9298998569384836,1.184549356223176,0.6580829756795422,0.4735336194563662,0.8984263233190272,0.0929899856938483,0.0,0.5379113018597997,0.2131616595135908,0.8726752503576538,0.6165951359084406,2.3505007153075823,0.4907010014306152,44780.14196792337,3130.9743490701,0.0,0.0570776255707762,,0.52
13.0,21.0,212.0,Montevideo Medio,1.0,1.0,0.5377358490566038,0.8679245283018868,0.0613207547169811,0.1320754716981132,0.0,0.0613207547169811,0.0613207547169811,0.0,3.018867924528302,2.089622641509434,1.1415094339622642,0.0,1.0,0.0,1.0,1.3867924528301887,0.2358490566037736,0.330188679245283,0.8820754716981132,0.0,0.0990566037735849,0.6415094339622641,0.1084905660377358,0.3113207547169811,0.330188679245283,2.4669811320754715,0.1179245283018868,39147.62485849057,2801.45070754717,0.0,0.039426523297491,,0.25
13.0,26.0,617.0,Montevideo Medio Bajo,0.893030794165316,0.8055105348460292,0.4862236628849271,0.918962722852512,0.1442463533225283,0.1296596434359805,0.1069692058346839,0.0875202593192868,0.0,0.0,3.327390599675851,1.93192868719611,1.1345218800648298,0.0,0.839546191247974,0.0534846029173419,0.9546191247974068,1.6304700162074557,0.2965964343598055,0.3144246353322528,0.7876823338735819,0.0,0.0,0.3630470016207455,0.2495948136142625,0.4457050243111831,0.2447325769854132,2.327390599675851,0.3176661264181523,43319.686363922665,1620.8351377633712,0.0551053484602917,0.2147435897435897,,0.28
13.0,27.0,432.0,Montevideo Medio Bajo,1.0,1.0,0.9583333333333334,1.0,0.2129629629629629,0.0648148148148148,0.0,0.0,0.0,0.0,3.280092592592593,1.891203703703704,1.0,0.0,0.7893518518518519,0.0717592592592592,0.925925925925926,1.6805555555555556,0.3472222222222222,0.4537037037037037,0.6527777777777778,0.0625,0.0717592592592592,0.6643518518518519,0.5578703703703703,0.6805555555555556,0.5300925925925926,2.2847222222222223,1.0486111111111112,46595.09352560648,3196.386203703704,0.1388888888888889,0.1266846361185983,,0.37
13.0,33.0,849.0,Montevideo Bajo,1.0,0.8833922261484098,0.3863368669022379,0.4334511189634865,0.2944640753828033,0.1837455830388692,0.0,0.1413427561837456,0.0977620730270907,0.8833922261484098,3.0588928150765606,2.021201413427562,1.0,0.28,0.6030624263839811,0.1707891637220259,0.9740871613663132,1.4652532391048292,0.3003533568904594,0.4369846878680801,0.8044758539458187,0.0353356890459364,0.0,0.3792697290930506,0.8833922261484098,0.3050647820965842,0.2697290930506478,2.5312131919905774,1.1672555948174324,30777.54069516797,3860.8694346289753,0.3616018845700824,0.2045951859956236,,0.61
13.0,37.0,813.0,Montevideo Medio Bajo,1.0,0.964329643296433,0.6051660516605166,0.8130381303813038,0.2287822878228782,0.077490774907749,0.039360393603936,0.1586715867158671,0.027060270602706,0.035670356703567,3.180811808118081,1.8856088560885609,1.063960639606396,0.06,0.8290282902829028,0.0984009840098401,1.0,1.416974169741697,0.2164821648216482,0.4489544895448955,0.8880688806888068,0.041820418204182,0.0,0.6691266912669127,0.4920049200492005,0.5879458794587946,0.5325953259532595,2.4120541205412054,0.5387453874538746,37087.88325543256,2211.2734645346454,0.1758917589175891,0.2200956937799043,,0.44
13.0,48.0,1320.0,Montevideo Bajo,1.0,1.0,0.7462121212121212,0.6106060606060606,0.184090909090909,0.1196969696969696,0.0242424242424242,0.2674242424242424,0.109090909090909,0.6992424242424242,2.91969696969697,1.9643939393939396,0.9424242424242424,0.09,0.728030303030303,0.106060606060606,0.9424242424242424,1.5045454545454546,0.1909090909090909,0.3659090909090909,0.671969696969697,0.0674242424242424,0.0,0.3431818181818182,0.7204545454545455,0.3295454545454545,0.3462121212121212,2.386363636363636,1.1454545454545455,29909.87078879556,3681.915351010101,0.521969696969697,0.2754901960784314,,0.42
13.0,49.0,551.0,Montevideo Bajo,1.0,1.0,0.8275862068965517,0.7622504537205081,0.3049001814882032,0.0508166969147005,0.0,0.2032667876588021,0.1107078039927404,0.8911070780399274,3.4301270417422867,2.252268602540835,1.058076225045372,0.0,0.7168784029038112,0.1088929219600726,0.9473684210526316,1.1941923774954628,0.5027223230490018,0.4428312159709618,0.8112522686025408,0.2722323049001814,0.0471869328493647,0.3266787658802177,0.8765880217785844,0.6497277676950998,0.4283121597096189,3.201451905626134,0.8838475499092558,46618.54456743606,2647.3061947973383,0.1597096188747731,0.1320474777448071,,0.47
13.0,50.0,738.0,Montevideo Bajo,0.9065040650406504,1.0,0.6747967479674797,0.7018970189701897,0.1707317073170731,0.0203252032520325,0.0,0.0203252032520325,0.0934959349593495,0.4308943089430894,3.238482384823848,1.8929539295392956,1.0718157181571817,0.14,0.6504065040650406,0.1856368563685637,0.962059620596206,1.1761517615176151,0.2710027100271002,0.4349593495934959,0.7710027100271003,0.0,0.040650406504065,0.3197831978319783,0.5284552845528455,0.4119241192411924,0.3441734417344173,2.21680216802168,0.4634146341463415,31748.74923753873,1991.9359891598915,0.2086720867208672,0.3582089552238806,,0.28
13.0,51.0,1302.0,Montevideo Bajo,1.0,1.0,0.7419354838709677,0.6290322580645161,0.3701996927803379,0.1167434715821812,0.0238095238095238,0.293394777265745,0.1697388632872503,0.8417818740399385,3.075268817204301,1.9831029185867897,1.0721966205837177,0.07,0.8018433179723502,0.0814132104454685,0.93394777265745,1.4170506912442395,0.1943164362519201,0.4324116743471582,0.6374807987711214,0.152073732718894,0.0,0.5230414746543779,0.825652841781874,0.5883256528417818,0.4416282642089094,2.7880184331797238,1.3625192012288787,34529.290731129615,4027.52955453149,0.4423963133640553,0.1790757381258023,,0.41
