secc,segm,pesoano,estred13,c1%Casas,c2%Ladrillo,c3%Hormigon,c4%PisoConTerminacion,c5_4,c5_5,c5_7,c5_8,c5_9,d8_4,d9,d10,d14,d20%Electrica,d21_1,d21_2,d21_3,d21_4_1,d21_5_1,d21_9,d21_10,d21_11,d21_12,d21_13,d21_15_2,d21_15_4,d21_16,d23,d24,ht11,YHOG,pobre06,d21_14_1,d260%Electrica
7.0,206.0,832.0,Montevideo Medio Alto,0.4050480769230769,1.0,1.0,1.0,0.052884615384615384,0.0,0.0,0.14543269230769232,0.03365384615384615,0.03125,3.3100961538461537,1.6959134615384615,1.2355769230769231,0.03,1.0,0.0,1.0,1.1033653846153846,0.7680288461538461,0.41225961538461536,0.8461538461538461,0.09495192307692307,0.02403846153846154,0.8798076923076923,0.09615384615384616,1.609375,0.8161057692307693,2.0084134615384617,0.028846153846153848,63051.056490384624,5506.308092948718,0.04807692307692308,0.22115384615384615,0.44
7.0,207.0,501.0,Montevideo Medio,0.469061876247505,1.0,1.0,0.9461077844311377,0.05389221556886228,0.05389221556886228,0.0,0.0,0.0,0.0,3.283433133732535,1.778443113772455,1.2834331337325349,0.11,1.0,0.043912175648702596,1.0,1.0978043912175648,0.9540918163672655,0.6287425149700598,0.812375249500998,0.0,0.043912175648702596,0.7544910179640718,0.5469061876247505,1.0838323353293413,0.8622754491017964,1.8842315369261478,0.3992015968063872,57175.83366070943,3811.8692614770457,0.05588822355289421,0.43313373253493015,0.29
7.0,208.0,384.0,Montevideo Medio,0.6927083333333334,1.0,1.0,1.0,0.0,0.0,0.0,0.1015625,0.0,0.0,3.3567708333333335,1.3880208333333333,1.1197916666666667,0.0,1.0,0.0,1.0,0.6223958333333334,1.0546875,0.5651041666666666,0.6848958333333334,0.0,0.0,0.796875,0.0703125,1.2578125,0.828125,1.6666666666666667,0.23697916666666666,61065.499218749996,6303.069010416667,0.0,0.6614583333333334,0.59
8.0,2.0,528.0,Montevideo Medio Alto,0.7348484848484849,1.0,1.0,1.0,0.08712121212121213,0.10037878787878787,0.0,0.2215909090909091,0.24053030303030304,0.0,3.5890151515151514,2.227272727272727,1.178030303030303,0.05,0.9564393939393939,0.0,1.0,1.2632575757575757,0.884469696969697,0.5890151515151515,0.8238636363636364,0.17424242424242425,0.0,0.7443181818181818,0.3106060606060606,1.0303030303030303,0.7878787878787878,2.422348484848485,0.2215909090909091,70350.57220959595,2303.8560606060605,0.0,0.2859848484848485,0.45
8.0,4.0,372.0,Montevideo Medio,0.717741935483871,1.0,1.0,1.0,0.0,0.0,0.0,0.08333333333333333,0.05913978494623656,0.0,3.6478494623655915,2.0510752688172045,1.0779569892473118,0.12,0.9408602150537635,0.0,1.0,0.9865591397849462,1.0456989247311828,0.46236559139784944,0.8870967741935484,0.16129032258064516,0.07795698924731183,0.8091397849462365,0.4543010752688172,1.663978494623656,0.75,2.139784946236559,0.7849462365591398,56255.04659498209,2474.8118279569894,0.07258064516129033,0.5188172043010753,0.34
8.0,10.0,290.0,Montevideo Medio,0.0,1.0,1.0,1.0,0.0,0.07931034482758621,0.0,0.0,0.0,0.0,3.182758620689655,1.6344827586206896,1.2517241379310344,0.11,1.0,0.0,1.0,0.8310344827586207,0.9896551724137931,0.6862068965517242,0.906896551724138,0.23103448275862068,0.09655172413793103,0.8655172413793103,0.0,1.7241379310344827,0.906896551724138,1.6413793103448275,0.296551724137931,71480.61609195403,2996.5919540229884,0.0,0.13448275862068965,0.7
8.0,13.0,516.0,Montevideo Medio,0.31007751937984496,1.0,0.9515503875968992,1.0,0.21124031007751937,0.1124031007751938,0.04844961240310078,0.19573643410852712,0.10077519379844961,0.0,2.383720930232558,1.3430232558139534,1.0426356589147288,0.14,0.8875968992248062,0.1124031007751938,1.0,0.8895348837209303,0.563953488372093,0.562015503875969,0.7093023255813954,0.060077519379844964,0.0,0.8507751937984496,0.05232558139534884,1.1569767441860466,0.6085271317829457,1.682170542635659,0.1124031007751938,36303.76841085271,3298.920219638243,0.1065891472868217,0.17248062015503876,0.58
8.0,111.0,918.0,Montevideo Medio Alto,0.19934640522875818,1.0,1.0,1.0,0.07625272331154684,0.04357298474945534,0.0,0.03812636165577342,0.03812636165577342,0.0,3.542483660130719,1.9760348583877996,1.3344226579520697,0.09,1.0,0.027233115468409588,1.0,0.9934640522875817,1.0969498910675382,0.6840958605664488,0.9564270152505446,0.24836601307189543,0.058823529411764705,0.920479302832244,0.29411764705882354,1.607843137254902,0.9520697167755992,2.210239651416122,0.3572984749455338,91682.32058823529,2838.7416485112567,0.0,0.38562091503267976,0.2
8.0,314.0,437.0,Montevideo Medio,0.4233409610983982,1.0,1.0,1.0,0.2494279176201373,0.06407322654462243,0.0,0.06407322654462243,0.06407322654462243,0.0,2.6819221967963385,1.7437070938215102,1.1235697940503433,0.0,0.9450800915331807,0.0,1.0,0.9679633867276888,0.6887871853546911,0.505720823798627,0.7391304347826086,0.06178489702517163,0.0,0.2951945080091533,0.4782608695652174,0.9519450800915332,0.7528604118993135,2.320366132723112,0.2448512585812357,48644.89784897025,3579.8649885583523,0.0,0.07322654462242563,0.18
9.0,1.0,656.0,Montevideo Bajo,1.0,0.9039634146341463,0.07926829268292683,0.3628048780487805,0.35823170731707316,0.3003048780487805,0.0,0.22408536585365854,0.3201219512195122,0.5457317073170732,2.9253048780487805,1.9969512195121952,1.0,0.28,0.5457317073170732,0.23628048780487804,0.9253048780487805,1.3734756097560976,0.13109756097560976,0.29115853658536583,0.7317073170731707,0.04878048780487805,0.0,0.698170731707317,0.8079268292682927,0.4496951219512195,0.40853658536585363,2.6082317073170733,1.201219512195122,30740.897223610296,4538.017022357724,0.44664634146341464,0.08689024390243902,0.41
