secc,segm,pesoano,porcentaje_casas,porcentaje_pared_ladrillo,porcentaje_techo_hormigon,porcentaje_piso_con_terminacion,cant_habitaciones_prom,porcentaje_cocina_electrica,tiene_calefon_prom,cant_televisores_prom,ingresos_hogar_prom,cant_ac_prom,porcentaje_calefaccio_electrica
1.0,1.0,502.0,0.07569721115537849,1.0,1.0,1.0,2.8824701195219125,0.14,1.0,0.7868525896414342,95920.73572377158,0.37250996015936255,0.26
1.0,3.0,283.0,0.0,1.0,1.0,1.0,2.92226148409894,0.18,1.0,0.6183745583038869,80887.77738515902,0.2968197879858657,0.5
1.0,104.0,332.0,0.0,1.0,1.0,1.0,3.3403614457831323,0.07,1.0,1.0,58396.65235943775,0.6656626506024096,0.46
1.0,105.0,983.0,0.0,1.0,1.0,1.0,3.1861648016276702,0.09,1.0,0.9206510681586979,95229.29840623941,0.4476093591047813,0.35
1.0,204.0,115.0,0.0,1.0,1.0,1.0,3.391304347826087,0.0,1.0,1.0,111859.47391304348,0.9652173913043478,0.64
1.0,205.0,777.0,0.0,1.0,1.0,1.0,2.978120978120978,0.17,0.9253539253539254,0.8301158301158301,89056.69884169885,0.5881595881595881,0.29
2.0,1.0,451.0,0.07982261640798226,1.0,1.0,1.0,3.3658536585365852,0.0,1.0,0.8425720620842572,64184.80413895048,0.3259423503325942,0.34
2.0,3.0,448.0,0.31026785714285715,1.0,1.0,1.0,3.0111607142857144,0.0,1.0,0.8683035714285714,83315.81845238096,0.4263392857142857,0.08
2.0,202.0,527.0,0.49335863377609107,1.0,1.0,1.0,3.292220113851992,0.0,0.9184060721062619,0.5009487666034156,94255.98924731182,0.4174573055028463,0.32
3.0,3.0,224.0,0.0,1.0,1.0,1.0,3.21875,0.0,1.0,0.8616071428571429,67198.70089285714,0.6116071428571429,0.45
3.0,101.0,386.0,0.49222797927461137,1.0,1.0,1.0,2.5207253886010363,0.0,0.694300518134715,0.6062176165803109,64389.43091537133,0.3134715025906736,0.2
3.0,102.0,160.0,0.1875,1.0,1.0,1.0,3.34375,0.0,1.0,1.0,101859.72083333334,0.4875,0.43
3.0,104.0,149.0,0.0,1.0,1.0,1.0,2.6040268456375837,0.58,1.0,0.7651006711409396,136287.86129753917,0.2348993288590604,0.0
3.0,202.0,473.0,0.10570824524312897,1.0,1.0,1.0,3.704016913319239,0.11,1.0,0.7505285412262156,121321.78188865399,0.37209302325581395,0.14
3.0,204.0,352.0,0.5340909090909091,1.0,1.0,1.0,2.7613636363636362,0.06,1.0,0.9034090909090909,65748.47272727272,0.7102272727272727,0.62
4.0,1.0,974.0,0.024640657084188913,1.0,1.0,1.0,2.470225872689938,0.08,0.9825462012320328,0.7905544147843943,66996.11772758384,0.3870636550308008,0.34
4.0,102.0,139.0,0.0,1.0,1.0,1.0,2.4892086330935252,0.0,1.0,0.7482014388489209,76618.22302158273,0.49640287769784175,0.24
4.0,103.0,1285.0,0.0,1.0,1.0,1.0,2.659143968871595,0.14,1.0,0.8007782101167316,80953.83216601815,0.49961089494163424,0.41
4.0,104.0,653.0,0.06431852986217458,1.0,1.0,1.0,3.964777947932619,0.1,1.0,0.8330781010719756,84373.83920367535,0.08575803981623277,0.22
4.0,202.0,614.0,0.03420195439739414,1.0,1.0,1.0,2.8648208469055376,0.19,1.0,0.9625407166123778,104433.80727470141,0.4723127035830619,0.57
4.0,203.0,997.0,0.03811434302908726,1.0,1.0,1.0,3.238716148445336,0.22,1.0,0.8565697091273822,74129.68488799734,0.6890672016048145,0.37
4.0,204.0,789.0,0.1964512040557668,1.0,1.0,1.0,3.3548795944233207,0.09,1.0,0.7718631178707225,98679.22940430926,0.3548795944233207,0.46
5.0,101.0,371.0,0.07816711590296496,1.0,1.0,1.0,3.1105121293800537,0.14,0.8463611859838275,0.9083557951482479,108759.7924528302,1.0566037735849056,0.23
5.0,102.0,115.0,0.0,1.0,1.0,1.0,1.1652173913043478,0.15,1.0,0.6869565217391305,62647.77391304348,0.3217391304347826,0.63
5.0,103.0,1084.0,0.3440959409594096,1.0,0.9677121771217713,1.0,3.3201107011070112,0.08,0.9464944649446494,0.7850553505535055,81960.83763837638,0.4151291512915129,0.44
5.0,104.0,784.0,0.4961734693877551,1.0,1.0,1.0,3.246173469387755,0.0,1.0,0.7461734693877551,83278.39732142857,0.44005102040816324,0.27
5.0,105.0,304.0,0.0,1.0,1.0,1.0,3.3453947368421053,0.0,1.0,0.805921052631579,137325.70065789475,1.1480263157894737,0.65
5.0,106.0,220.0,0.509090909090909,1.0,1.0,1.0,3.3727272727272726,0.17,1.0,1.0,77835.81818181818,0.5363636363636364,0.54
5.0,201.0,501.0,0.0,1.0,1.0,1.0,3.3972055888223553,0.25,1.0,0.8383233532934131,82183.64737192282,0.5109780439121756,0.24
5.0,202.0,410.0,0.17560975609756097,1.0,1.0,1.0,3.953658536585366,0.13,1.0,0.6682926829268293,131404.68617886177,0.9829268292682927,0.56
5.0,203.0,606.0,0.5132013201320133,1.0,1.0,1.0,3.546204620462046,0.13,1.0,0.8943894389438944,106884.78547854786,1.0759075907590758,0.38
5.0,204.0,467.0,0.13062098501070663,1.0,1.0,1.0,2.73661670235546,0.12,1.0,0.9550321199143469,83918.18486795145,0.5160599571734475,0.39
5.0,205.0,142.0,0.7535211267605634,1.0,1.0,1.0,2.795774647887324,0.0,1.0,0.6408450704225352,65966.02816901408,0.5070422535211268,0.17
5.0,206.0,257.0,0.245136186770428,1.0,1.0,1.0,3.3268482490272375,0.23,1.0,0.9260700389105059,109170.52042801556,0.933852140077821,0.46
6.0,101.0,350.0,0.0,1.0,1.0,1.0,3.625714285714286,0.05,1.0,1.0,106809.54238095239,0.4542857142857143,0.37
6.0,102.0,810.0,0.04938271604938271,1.0,1.0,1.0,2.762962962962963,0.0,1.0,0.8580246913580247,59478.55370370371,0.5123456790123457,0.39
6.0,103.0,734.0,0.0,1.0,1.0,1.0,3.11716621253406,0.03,1.0,0.9196185286103542,89855.69028156222,0.8773841961852861,0.52
6.0,104.0,1036.0,0.027992277992277992,1.0,1.0,1.0,3.302123552123552,0.14,1.0,0.833976833976834,111716.13416988417,0.6264478764478765,0.44
6.0,201.0,932.0,0.03755364806866953,1.0,1.0,1.0,3.3090128755364807,0.02,1.0,0.9420600858369099,108872.50178826894,1.094420600858369,0.56
6.0,202.0,914.0,0.13347921225382933,1.0,1.0,1.0,3.1312910284463893,0.09,1.0,0.7330415754923414,81471.2352297593,0.6783369803063457,0.51
6.0,203.0,145.0,0.0,1.0,1.0,1.0,3.310344827586207,0.16,1.0,1.0,90160.94712643679,1.282758620689655,0.81
6.0,204.0,1156.0,0.20069204152249134,1.0,1.0,1.0,3.10121107266436,0.07,0.9385813148788927,0.8122837370242214,75693.3473183391,0.4688581314878893,0.32
6.0,304.0,756.0,0.0,1.0,1.0,1.0,3.1335978835978837,0.21,0.8677248677248677,0.8981481481481481,91952.02380952382,0.6865079365079365,0.22
7.0,1.0,19.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,49054.0,0.0,1.0
7.0,9.0,118.0,0.0,1.0,1.0,1.0,4.262711864406779,0.14,1.0,1.0,272800.04519774014,2.4491525423728815,0.45
7.0,10.0,1065.0,0.09201877934272301,1.0,1.0,1.0,3.43849765258216,0.12,1.0,0.9380281690140845,130834.61893583724,0.4272300469483568,0.09
7.0,102.0,247.0,0.38866396761133604,1.0,1.0,1.0,2.4979757085020244,0.23,1.0,0.9149797570850202,79965.8286099865,0.42105263157894735,0.32
7.0,103.0,565.0,0.40530973451327434,1.0,1.0,1.0,2.2460176991150442,0.0,1.0,0.9221238938053097,76137.59469026548,0.3893805309734513,0.56
7.0,104.0,481.0,0.16424116424116425,1.0,1.0,1.0,3.241164241164241,0.0,0.9230769230769231,0.8690228690228691,83410.0446985447,0.7193347193347194,0.47
7.0,105.0,744.0,0.0228494623655914,1.0,1.0,1.0,2.3696236559139785,0.36,1.0,0.7432795698924731,60685.770609319,0.5443548387096774,0.71
7.0,106.0,512.0,0.390625,1.0,1.0,1.0,3.1328125,0.14,1.0,0.947265625,89825.259765625,1.001953125,0.49
7.0,107.0,416.0,0.22596153846153846,1.0,1.0,1.0,2.8173076923076925,0.0,0.9447115384615384,0.8581730769230769,85992.36177884616,0.1346153846153846,0.32
7.0,202.0,124.0,0.25,1.0,1.0,1.0,2.661290322580645,0.0,1.0,0.8145161290322581,79173.45967741935,0.7903225806451613,0.56
7.0,203.0,949.0,0.1559536354056902,1.0,1.0,1.0,3.332982086406744,0.15,0.9610115911485775,0.8535300316122234,111870.60563751316,0.6195995785036881,0.43
7.0,204.0,318.0,0.0,1.0,1.0,1.0,3.339622641509434,0.0,1.0,0.8805031446540881,95914.1320754717,0.2861635220125786,0.29
7.0,205.0,114.0,0.18421052631578946,1.0,1.0,1.0,4.526315789473684,0.0,1.0,0.8333333333333334,115961.61695906431,1.1228070175438596,0.45
7.0,206.0,992.0,0.23084677419354838,1.0,0.9627016129032258,1.0,3.2641129032258065,0.12,1.0,0.8770161290322581,88710.62298387097,0.717741935483871,0.3
7.0,207.0,197.0,0.6903553299492385,1.0,1.0,1.0,2.786802030456853,0.0,1.0,0.6802030456852792,53884.16243654822,0.27411167512690354,0.27
7.0,208.0,413.0,0.3196125907990315,1.0,1.0,1.0,4.067796610169491,0.0,1.0,1.0,103165.58353510893,0.48668280871670705,0.41
7.0,303.0,31.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,1.0,67084.0,0.0,0.0
8.0,1.0,184.0,0.32065217391304346,1.0,1.0,1.0,2.657608695652174,0.12,1.0,1.0,62914.86956521739,0.42934782608695654,0.59
8.0,2.0,420.0,0.5285714285714286,1.0,1.0,1.0,4.642857142857143,0.13,1.0,0.8476190476190476,78237.65714285715,0.23095238095238096,0.1
8.0,3.0,690.0,0.2768115942028985,1.0,1.0,1.0,3.398550724637681,0.1,1.0,0.9043478260869565,90827.66231884058,0.5666666666666667,0.29
8.0,4.0,295.0,0.6949152542372882,1.0,1.0,1.0,4.067796610169491,0.06,0.8711864406779661,0.8,86634.66666666666,0.21694915254237288,0.06
8.0,7.0,422.0,0.43838862559241704,1.0,0.9123222748815166,1.0,2.971563981042654,0.0,0.9123222748815166,0.8886255924170616,66084.21682464455,0.5521327014218009,0.37
8.0,10.0,215.0,0.0,1.0,1.0,1.0,3.130232558139535,0.0,0.4232558139534884,1.0,101180.6992248062,1.3488372093023255,0.87
8.0,12.0,354.0,0.2231638418079096,1.0,1.0,1.0,3.437853107344633,0.0,1.0,0.8700564971751412,106416.86252354049,0.3898305084745763,0.4
8.0,13.0,626.0,0.5782747603833865,1.0,0.7731629392971247,1.0,2.7747603833865813,0.1,1.0,0.5910543130990416,58945.96645367412,0.28115015974440893,0.34
8.0,111.0,602.0,0.11960132890365449,1.0,1.0,1.0,3.511627906976744,0.2,1.0,0.8372093023255814,90327.94905869324,0.8538205980066446,0.71
8.0,114.0,284.0,0.5352112676056338,1.0,1.0,1.0,3.528169014084507,0.07,1.0,0.7007042253521126,63840.44190140845,0.6126760563380281,0.3
8.0,211.0,384.0,0.08333333333333333,1.0,1.0,1.0,3.3411458333333335,0.12,1.0,0.78125,91381.09895833333,0.6901041666666666,0.51
8.0,214.0,503.0,0.0,1.0,1.0,1.0,2.63220675944334,0.0,1.0,0.7972166998011928,74448.3015241882,0.28628230616302186,0.25
8.0,314.0,422.0,0.514218009478673,1.0,0.9170616113744076,1.0,3.2914691943127963,0.17,1.0,0.7440758293838863,75956.21761453398,0.11374407582938388,0.34
9.0,1.0,419.0,1.0,0.8973747016706444,0.15274463007159905,0.4892601431980907,2.60381861575179,0.2,0.4152744630071599,0.5584725536992841,39215.139618138426,0.07875894988066826,0.14
9.0,2.0,474.0,1.0,0.930379746835443,0.679324894514768,0.9240506329113924,3.217299578059072,0.0,1.0,0.7763713080168776,60277.7264416315,0.27637130801687765,0.35
9.0,3.0,583.0,1.0,1.0,0.8319039451114922,0.8970840480274442,3.2590051457975986,0.0,0.9639794168096055,0.6329331046312179,63447.036878216124,0.37221269296740994,0.26
9.0,5.0,339.0,1.0,1.0,0.37168141592920356,0.8672566371681416,4.182890855457227,0.0,0.8672566371681416,0.7610619469026548,72050.97640117994,1.0914454277286136,0.27
9.0,7.0,126.0,0.0,1.0,1.0,1.0,2.0,0.0,0.8333333333333334,0.6587301587301587,33346.01587301587,0.0,0.57
9.0,8.0,225.0,1.0,1.0,0.8666666666666667,1.0,3.8933333333333335,0.0,1.0,0.9244444444444444,91045.25333333333,0.7733333333333333,0.24
9.0,9.0,602.0,0.7475083056478405,1.0,0.8239202657807309,0.867109634551495,3.835548172757475,0.0,0.9368770764119602,0.9534883720930233,99172.68327796235,1.0199335548172757,0.43
9.0,10.0,180.0,1.0,1.0,1.0,1.0,4.366666666666666,0.0,1.0,1.0,92844.8,0.5333333333333333,0.22
9.0,11.0,314.0,1.0,1.0,0.7133757961783439,1.0,2.9394904458598727,0.09,1.0,1.0,65997.93651804671,0.6719745222929936,0.27
9.0,15.0,333.0,0.5585585585585585,1.0,0.5855855855855856,1.0,3.5735735735735736,0.0,1.0,0.8228228228228228,61875.045045045044,1.072072072072072,0.53
9.0,16.0,116.0,1.0,1.0,0.3620689655172414,0.6896551724137931,3.0172413793103448,0.33,0.6724137931034483,0.3620689655172414,56852.775862068964,0.3620689655172414,0.33
9.0,18.0,453.0,0.9315673289183223,1.0,0.9139072847682119,0.9139072847682119,3.075055187637969,0.09,0.9139072847682119,0.7969094922737306,47609.57174392936,0.2582781456953642,0.23
9.0,21.0,483.0,0.5527950310559007,1.0,0.6542443064182195,1.0,3.7080745341614905,0.0,1.0,0.8115942028985508,77717.81021394065,0.9399585921325052,0.12
9.0,22.0,948.0,0.6867088607594937,1.0,0.8987341772151899,1.0,4.015822784810126,0.0,0.95042194092827,0.9008438818565401,97010.76898734177,1.0812236286919832,0.27
9.0,24.0,400.0,1.0,1.0,0.7925,0.9425,4.1925,0.0,0.9425,0.885,77710.0825,1.2125,0.26
9.0,25.0,166.0,1.0,0.8313253012048193,0.6024096385542169,0.608433734939759,3.4578313253012047,0.0,0.8313253012048193,0.608433734939759,48524.590361445786,0.6445783132530121,0.6
9.0,26.0,787.0,0.8043202033036849,1.0,0.567979669631512,0.6480304955527318,2.86277001270648,0.27,0.7268106734434562,0.5603557814485387,60318.03536637018,0.20330368487928843,0.61
9.0,27.0,640.0,1.0,0.94375,0.6953125,0.8859375,3.4234375,0.0,1.0,0.7859375,70044.36953125,0.4765625,0.22
9.0,28.0,157.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,0.8535031847133758,47017.19957537155,0.0,0.45
9.0,29.0,378.0,1.0,1.0,0.8624338624338624,1.0,3.759259259259259,0.0,1.0,0.9206349206349206,89874.06084656085,0.5634920634920635,0.27
9.0,30.0,289.0,1.0,1.0,0.8996539792387543,1.0,4.159169550173011,0.0,1.0,0.8166089965397924,65925.70818915802,1.0588235294117647,0.29
9.0,31.0,497.0,1.0,1.0,0.96579476861167,1.0,3.698189134808853,0.15,1.0,0.7947686116700201,81781.26894701543,1.0160965794768613,0.35
9.0,32.0,262.0,1.0,1.0,1.0,1.0,4.1679389312977095,0.11,0.8854961832061069,0.7595419847328244,87048.99491094146,1.9312977099236641,0.26
9.0,33.0,1115.0,1.0,1.0,0.6959641255605381,0.9147982062780269,3.462780269058296,0.04,0.9085201793721973,0.7031390134529149,75039.8269058296,0.5408071748878924,0.0
9.0,34.0,492.0,1.0,1.0,0.8211382113821138,0.8536585365853658,3.394308943089431,0.0,1.0,0.6910569105691057,58606.686991869916,0.3130081300813008,0.17
9.0,35.0,537.0,1.0,1.0,0.4022346368715084,0.7299813780260708,3.554934823091248,0.0,1.0,0.6517690875232774,46585.22408441961,0.5027932960893855,0.47
9.0,37.0,430.0,1.0,1.0,0.7767441860465116,0.9116279069767442,3.9046511627906977,0.0,1.0,0.7325581395348837,84957.33178294575,1.0488372093023255,0.51
9.0,47.0,1461.0,0.972621492128679,1.0,0.5441478439425051,0.6379192334017796,3.0212183436002737,0.11,0.865160848733744,0.7015742642026009,59227.66164727356,0.25256673511293637,0.35
9.0,117.0,571.0,0.7040280210157618,0.9264448336252189,0.4763572679509632,0.6865148861646234,3.3047285464098075,0.0,0.9264448336252189,0.7443082311733801,73125.6906012843,0.287215411558669,0.5
9.0,217.0,1465.0,0.0,1.0,1.0,0.9849829351535836,3.736518771331058,0.1,0.9713310580204778,0.868259385665529,77183.6827076223,0.6621160409556314,0.4
9.0,255.0,1332.0,0.6013513513513513,0.9211711711711712,0.5435435435435435,0.7372372372372372,3.560810810810811,0.06,0.789039039039039,0.753003003003003,53668.67117117117,0.24924924924924924,0.33
10.0,4.0,704.0,0.8522727272727273,1.0,0.8977272727272727,1.0,3.4431818181818183,0.0,0.9659090909090909,0.7329545454545454,70755.50094696971,0.32954545454545453,0.08
10.0,5.0,741.0,0.4089068825910931,1.0,0.8744939271255061,1.0,3.446693657219973,0.05,0.97165991902834,0.7543859649122807,82914.91430499325,0.44399460188933876,0.4
10.0,6.0,445.0,0.8247191011235955,0.903370786516854,0.5056179775280899,0.903370786516854,3.1168539325842697,0.0,0.903370786516854,0.7617977528089888,64403.152808988765,0.23370786516853934,0.22
10.0,8.0,451.0,0.5476718403547672,1.0,1.0,1.0,2.869179600886918,0.08,0.9623059866962306,0.8137472283813747,63459.278270509974,0.3325942350332594,0.24
10.0,9.0,715.0,0.4027972027972028,1.0,1.0,1.0,3.239160839160839,0.0,1.0,0.7706293706293706,67571.0027972028,0.6167832167832168,0.48
10.0,12.0,265.0,0.7886792452830189,1.0,0.8603773584905661,1.0,4.181132075471698,0.06,1.0,1.0,160008.60125786162,1.9320754716981132,0.14
10.0,15.0,1165.0,0.6909871244635193,1.0,0.9690987124463519,1.0,3.4360515021459226,0.12,1.0,0.848068669527897,99114.21115879827,1.1536480686695278,0.46
10.0,21.0,656.0,0.9527439024390244,1.0,0.8475609756097561,1.0,4.0198170731707314,0.0,1.0,0.8780487804878049,87655.68851626015,0.614329268292683,0.19
10.0,40.0,1115.0,0.5345291479820627,0.9757847533632287,0.8358744394618834,1.0,3.3228699551569507,0.06,0.9067264573991032,0.9192825112107623,90451.423019432,1.010762331838565,0.35
10.0,41.0,1075.0,0.7246511627906976,1.0,1.0,1.0,3.881860465116279,0.07,0.9693023255813954,0.9348837209302325,143173.30790697676,1.5665116279069768,0.41
