secc,segm,pesoano,estred13,c1%Casas,c2%Ladrillo,c3%Hormigon,c4%PisoConTerminacion,c5_4,c5_5,c5_7,c5_8,c5_9,d8_4,d9,d10,d14,d20%Electrica,d21_1,d21_2,d21_3,d21_4_1,d21_5_1,d21_9,d21_10,d21_11,d21_12,d21_13,d21_15_2,d21_15_4,d21_16,d23,d24,ht11,YHOG,pobre06,d21_14_1,d260%Electrica
1.0,104.0,160.0,Montevideo Medio,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,1.0,0.51,1.0,0.0,1.0,0.7125,0.2875,0.65,0.2,0.0,0.0,0.85625,0.1625,0.8,0.65625,1.2,0.4,51316.04791666666,10117.5875,0.0,0.8,0.0
1.0,105.0,421.0,Montevideo Medio Alto,0.05463182897862233,1.0,1.0,1.0,0.0,0.0,0.0,0.08076009501187649,0.0,0.0,2.7648456057007125,1.4133016627078385,1.2660332541567696,0.0,0.9358669833729216,0.06413301662707839,1.0,0.42755344418052255,1.1021377672209025,0.42280285035629456,0.7885985748218527,0.13539192399049882,0.057007125890736345,0.836104513064133,0.07363420427553444,1.7790973871733966,0.9358669833729216,1.6959619952494063,0.20665083135391923,82040.33887569279,4132.448139350752,0.0,0.5368171021377672,0.0
3.0,104.0,514.0,Montevideo Medio,0.0,1.0,1.0,1.0,0.10311284046692606,0.0,0.0,0.0,0.0,0.0,2.7062256809338523,1.443579766536965,1.0447470817120623,0.05,1.0,0.05252918287937743,1.0,0.7276264591439688,0.7568093385214008,0.3638132295719844,0.8540856031128404,0.122568093385214,0.0,0.5389105058365758,0.1303501945525292,0.5992217898832685,0.6478599221789884,1.6828793774319066,0.05642023346303502,59912.40596627756,2720.2509727626457,0.05642023346303502,0.05252918287937743,0.0
3.0,202.0,238.0,Montevideo Medio,0.1092436974789916,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2983193277310923,1.7100840336134453,1.1092436974789917,0.33,1.0,0.0,1.0,0.5546218487394958,1.0294117647058822,0.592436974789916,0.8235294117647058,0.0,0.0,0.9033613445378151,0.24369747899159663,1.9369747899159664,0.7941176470588235,1.7142857142857142,0.38235294117647056,94341.72829131654,2764.59243697479,0.0,0.47478991596638653,0.0
4.0,103.0,1149.0,Montevideo Medio Alto,0.02610966057441253,1.0,1.0,1.0,0.028720626631853787,0.0,0.0,0.04873803307223673,0.028720626631853787,0.0,2.8729329852045256,1.5892080069625762,1.2497824194952132,0.17,1.0,0.0,1.0,0.5500435161009574,1.134029590948651,0.2906875543951262,0.8093994778067886,0.02610966057441253,0.026979982593559618,0.7606614447345518,0.08006962576153177,1.4186248912097477,0.8938207136640557,1.8529155787641427,0.16971279373368145,71928.3666956774,4562.902523933855,0.0,0.47084421235857266,0.0
4.0,204.0,693.0,Montevideo Medio,0.3217893217893218,1.0,0.9668109668109668,1.0,0.0,0.0,0.0,0.09235209235209235,0.0,0.0,2.948051948051948,1.5916305916305917,1.1717171717171717,0.04,1.0,0.0,1.0,0.6017316017316018,1.15007215007215,0.45165945165945165,0.9336219336219336,0.13131313131313133,0.03896103896103896,0.8196248196248196,0.04329004329004329,1.5036075036075036,0.8513708513708513,2.005772005772006,0.18181818181818182,75201.8431938432,4093.1837421837417,0.07503607503607504,0.6248196248196248,0.0
5.0,101.0,176.0,Montevideo Medio Alto,0.0,1.0,1.0,1.0,0.1875,0.0,0.0,0.0,0.0,0.0,2.6988636363636362,1.8920454545454546,2.0454545454545454,0.0,0.8181818181818182,0.18181818181818182,1.0,0.6988636363636364,1.0113636363636365,0.4318181818181818,0.6193181818181818,0.1875,0.0,0.8181818181818182,0.0,1.2443181818181819,0.9034090909090909,2.085227272727273,0.0,86694.53409090909,7091.721590909091,0.0,0.4715909090909091,0.0
5.0,103.0,265.0,Montevideo Medio Alto,0.28679245283018867,1.0,0.9132075471698113,1.0,0.0,0.0,0.0,0.23018867924528302,0.0,0.0,3.460377358490566,1.558490566037736,1.490566037735849,0.0,1.0,0.09433962264150944,1.0,0.5320754716981132,0.8754716981132076,0.4339622641509434,0.7320754716981132,0.0,0.1169811320754717,0.6415094339622641,0.0,1.241509433962264,0.7320754716981132,2.026415094339623,0.0,63441.46037735849,5041.686792452831,0.0,0.38113207547169814,0.0
5.0,105.0,517.0,Montevideo Medio Alto,0.0,1.0,1.0,1.0,0.05415860735009671,0.0,0.0,0.0,0.0,0.0,2.978723404255319,1.448742746615087,1.0,0.04,1.0,0.09671179883945841,0.9342359767891683,1.230174081237911,1.0541586073500968,0.43520309477756286,0.8936170212765957,0.2437137330754352,0.15473887814313347,0.8220502901353965,0.11992263056092843,0.9864603481624759,0.7040618955512572,1.678916827852998,0.3539651837524178,78462.59252095422,3075.2069632495163,0.0,0.3945841392649903,0.0
5.0,201.0,823.0,Montevideo Medio Alto,0.1117861482381531,1.0,1.0,1.0,0.03766707168894289,0.0,0.0,0.10814094775212636,0.0,0.0,3.0874848116646416,1.6950182260024302,1.4605103280680438,0.19,1.0,0.05589307411907655,1.0,0.6780072904009721,1.0267314702308628,0.425273390036452,0.6245443499392467,0.1445929526123937,0.12150668286755771,0.8809234507897934,0.1385176184690158,1.416767922235723,0.8262454434993924,1.8007290400972054,0.3572296476306197,84214.07209396518,4350.429323612799,0.040097205346294046,0.46051032806804376,0.0
