secc,segm,anio,mes,cantidadPredios,potencia_contratada_punta,tarifa-%TRS,tarifa-%TCB,tarifa-%TRD,energia_facturada
1.0,2.0,2018.0,12.0,296.0,0.0,0.6216216216216216,0.30067567567567566,0.02027027027027027,48193.392
1.0,3.0,2018.0,1.0,542.0,0.0,0.7232472324723247,0.14760147601476015,0.03505535055350553,109832.10800000001
1.0,3.0,2018.0,2.0,511.0,0.0,0.7265625,0.15234375,0.033203125,93998.591
1.0,3.0,2018.0,3.0,528.0,0.0,0.7283018867924528,0.15283018867924528,0.033962264150943396,92655.525
1.0,3.0,2018.0,4.0,533.0,0.0,0.7233644859813084,0.16074766355140188,0.029906542056074768,92915.66200000001
1.0,3.0,2018.0,5.0,545.0,0.0,0.720508166969147,0.16152450090744103,0.030852994555353903,107635.5
1.0,3.0,2018.0,6.0,532.0,0.0,0.7340823970037453,0.15917602996254682,0.0299625468164794,131816.56
1.0,3.0,2018.0,7.0,538.0,0.0,0.7255985267034991,0.16206261510128914,0.027624309392265192,134466.09600000002
1.0,3.0,2018.0,8.0,547.0,0.0,0.716636197440585,0.1590493601462523,0.03656307129798903,139828.91100000002
1.0,3.0,2018.0,9.0,535.0,0.0,0.7262569832402235,0.1564245810055866,0.03165735567970205,111003.16
1.0,3.0,2018.0,10.0,551.0,0.0,0.7197106690777577,0.15913200723327306,0.0325497287522604,108943.693
1.0,3.0,2018.0,11.0,554.0,0.0,0.7225225225225225,0.16036036036036036,0.032432432432432434,102175.307
1.0,3.0,2018.0,12.0,563.0,0.0,0.7175843694493783,0.16163410301953818,0.03019538188277087,95331.34700000001
1.0,104.0,2018.0,1.0,411.0,0.0,0.7153284671532847,0.22627737226277372,0.029197080291970802,79565.331
1.0,104.0,2018.0,2.0,412.0,0.0,0.7101449275362319,0.2318840579710145,0.028985507246376812,75223.56599999999
1.0,104.0,2018.0,3.0,417.0,0.0,0.7081339712918661,0.23684210526315788,0.02631578947368421,69049.58499999999
1.0,104.0,2018.0,4.0,417.0,0.0,0.7064439140811456,0.2386634844868735,0.026252983293556086,69696.18400000001
1.0,104.0,2018.0,5.0,414.0,0.0,0.7067307692307693,0.23557692307692307,0.026442307692307692,77818.65400000001
1.0,104.0,2018.0,6.0,412.0,0.0,0.7087378640776699,0.2354368932038835,0.02669902912621359,83075.008
1.0,104.0,2018.0,7.0,416.0,0.0,0.6961722488038278,0.24880382775119617,0.02631578947368421,99411.49299999999
1.0,104.0,2018.0,8.0,419.0,0.0,0.6990521327014217,0.24644549763033174,0.026066350710900472,102285.541
1.0,104.0,2018.0,9.0,416.0,0.0,0.7002398081534772,0.2446043165467626,0.026378896882494004,98835.79800000001
1.0,104.0,2018.0,10.0,411.0,0.0,0.6973365617433414,0.2469733656174334,0.026634382566585957,77155.43800000001
1.0,104.0,2018.0,11.0,417.0,0.0,0.7074340527577938,0.2422062350119904,0.026378896882494004,81511.395
1.0,104.0,2018.0,12.0,409.0,0.0,0.6990291262135923,0.25,0.02912621359223301,71313.88200000001
1.0,105.0,2018.0,1.0,591.0,0.0,0.7140439932318104,0.19120135363790186,0.032148900169204735,115591.025
1.0,105.0,2018.0,2.0,583.0,0.0,0.7025641025641025,0.20341880341880342,0.03076923076923077,113938.898
1.0,105.0,2018.0,3.0,604.0,0.0,0.7102649006622517,0.20198675496688742,0.028145695364238412,109732.062
1.0,105.0,2018.0,4.0,594.0,0.0,0.7068676716917923,0.20603015075376885,0.02680067001675042,106532.853
1.0,105.0,2018.0,5.0,602.0,0.0,0.7052980132450332,0.20695364238410596,0.028145695364238412,113179.122
1.0,105.0,2018.0,6.0,603.0,0.0,0.7039473684210527,0.20888157894736842,0.029605263157894735,129360.361
1.0,105.0,2018.0,7.0,607.0,0.0,0.7,0.21147540983606558,0.03114754098360656,151191.348
1.0,105.0,2018.0,8.0,603.0,0.0,0.6942148760330579,0.2115702479338843,0.03471074380165289,156876.30699999997
1.0,105.0,2018.0,9.0,606.0,0.0,0.6907894736842105,0.21546052631578946,0.03618421052631579,153448.122
1.0,105.0,2018.0,10.0,600.0,0.0,0.6948590381426202,0.21061359867330018,0.03482587064676617,119259.51699999999
1.0,105.0,2018.0,11.0,605.0,0.0,0.6907894736842105,0.2138157894736842,0.03453947368421053,126443.64399999999
1.0,105.0,2018.0,12.0,595.0,0.0,0.6867671691792295,0.21943048576214405,0.03685092127303183,108613.195
1.0,204.0,2018.0,1.0,326.0,0.0,0.6748466257668712,0.2607361963190184,0.027607361963190184,66169.808
1.0,204.0,2018.0,2.0,319.0,0.0,0.6739811912225705,0.26332288401253917,0.0219435736677116,59096.966
1.0,204.0,2018.0,3.0,323.0,0.0,0.6728395061728395,0.2623456790123457,0.024691358024691357,50802.099
1.0,204.0,2018.0,4.0,327.0,0.0,0.6666666666666666,0.2636363636363636,0.024242424242424242,58021.835999999996
1.0,204.0,2018.0,5.0,329.0,0.0,0.6586102719033232,0.2719033232628399,0.027190332326283987,61120.78200000001
1.0,204.0,2018.0,6.0,335.0,0.0,0.6538461538461539,0.2781065088757396,0.026627218934911243,69650.701
1.0,204.0,2018.0,7.0,334.0,0.0,0.6437125748502994,0.2844311377245509,0.02694610778443114,79406.619
1.0,204.0,2018.0,8.0,330.0,0.0,0.6454545454545455,0.28484848484848485,0.030303030303030304,79790.27100000001
1.0,204.0,2018.0,9.0,328.0,0.0,0.6474164133738601,0.2857142857142857,0.02735562310030395,72626.741
1.0,204.0,2018.0,10.0,335.0,0.0,0.6477611940298508,0.27761194029850744,0.029850746268656716,64097.924
1.0,204.0,2018.0,11.0,325.0,0.0,0.6430769230769231,0.27692307692307694,0.033846153846153845,60345.422000000006
1.0,204.0,2018.0,12.0,335.0,0.0,0.655786350148368,0.27002967359050445,0.032640949554896145,59992.003
1.0,205.0,2018.0,1.0,596.0,0.0,0.75,0.17114093959731544,0.018456375838926176,123112.805
1.0,205.0,2018.0,2.0,588.0,0.0,0.752542372881356,0.17627118644067796,0.01864406779661017,110740.24
1.0,205.0,2018.0,3.0,589.0,0.0,0.7457627118644068,0.17796610169491525,0.01864406779661017,101759.16
1.0,205.0,2018.0,4.0,588.0,0.0,0.7402376910016978,0.1833616298811545,0.01867572156196944,102570.44
1.0,205.0,2018.0,5.0,587.0,0.0,0.7431972789115646,0.1836734693877551,0.01870748299319728,112836.6
1.0,205.0,2018.0,6.0,602.0,0.0,0.7429519071310116,0.17744610281923714,0.01824212271973466,130026.48
1.0,205.0,2018.0,7.0,605.0,0.0,0.7467105263157895,0.17927631578947367,0.014802631578947368,142393.648
