secc,segm,anio,mes,cantidadPredios,tarifa-%TRS,tarifa-%TCB,tarifa-%TRD,energia_facturada
1.0,104.0,2019.0,1.0,414.0,0.7222222222222222,0.22705314009661837,0.03140096618357488,77111.46
1.0,104.0,2019.0,2.0,407.0,0.7139364303178484,0.23471882640586797,0.03178484107579462,72122.942
1.0,104.0,2019.0,3.0,406.0,0.714987714987715,0.2334152334152334,0.0343980343980344,73513.981
1.0,104.0,2019.0,4.0,406.0,0.7068965517241379,0.23891625615763548,0.034482758620689655,66778.333
1.0,104.0,2019.0,5.0,403.0,0.6972704714640199,0.24813895781637718,0.034739454094292806,77992.996
1.0,104.0,2019.0,6.0,416.0,0.7043269230769231,0.24278846153846154,0.03125,84526.444
1.0,104.0,2019.0,7.0,416.0,0.7043269230769231,0.2403846153846154,0.036057692307692304,95837.93400000001
1.0,104.0,2019.0,8.0,405.0,0.6945812807881774,0.24630541871921183,0.03694581280788178,104819.73300000001
1.0,104.0,2019.0,9.0,409.0,0.691747572815534,0.24757281553398058,0.038834951456310676,102446.193
1.0,104.0,2019.0,10.0,414.0,0.689156626506024,0.24819277108433735,0.03855421686746988,95102.57
1.0,104.0,2019.0,11.0,402.0,0.6674937965260546,0.2679900744416873,0.04218362282878412,79260.301
1.0,104.0,2019.0,12.0,403.0,0.6650124069478908,0.2704714640198511,0.04218362282878412,69876.375
1.0,105.0,2019.0,1.0,608.0,0.7060755336617406,0.20032840722495895,0.0361247947454844,120375.638
1.0,105.0,2019.0,2.0,598.0,0.7028380634390651,0.1986644407345576,0.038397328881469114,123029.571
1.0,105.0,2019.0,3.0,615.0,0.7073170731707317,0.1983739837398374,0.03577235772357724,117395.777
1.0,105.0,2019.0,4.0,616.0,0.689935064935065,0.21103896103896103,0.037337662337662336,115737.90599999999
1.0,105.0,2019.0,5.0,620.0,0.6919354838709677,0.20967741935483872,0.037096774193548385,123270.886
1.0,105.0,2019.0,6.0,617.0,0.6855753646677472,0.2171799027552674,0.03727714748784441,133378.88
1.0,105.0,2019.0,7.0,618.0,0.6796116504854369,0.22491909385113268,0.03559870550161812,147871.24599999998
1.0,105.0,2019.0,8.0,628.0,0.6751592356687898,0.23089171974522293,0.03343949044585987,158695.916
1.0,105.0,2019.0,9.0,626.0,0.6693290734824281,0.23003194888178913,0.03514376996805112,159674.827
1.0,105.0,2019.0,10.0,625.0,0.664,0.2368,0.0352,143599.04200000002
1.0,105.0,2019.0,11.0,628.0,0.6576433121019108,0.2372611464968153,0.03821656050955414,123375.97999999998
1.0,105.0,2019.0,12.0,623.0,0.651685393258427,0.24398073836276082,0.04012841091492777,120990.719
3.0,104.0,2019.0,1.0,343.0,0.7376093294460642,0.2099125364431487,0.037900874635568516,64740.015
3.0,104.0,2019.0,2.0,342.0,0.7280701754385965,0.21637426900584794,0.038011695906432746,61085.24399999999
3.0,104.0,2019.0,3.0,351.0,0.7321937321937322,0.21652421652421652,0.037037037037037035,61845.619
3.0,104.0,2019.0,4.0,345.0,0.7333333333333333,0.2144927536231884,0.04057971014492753,51195.724
3.0,104.0,2019.0,5.0,355.0,0.7436619718309859,0.2056338028169014,0.036619718309859155,67048.419
3.0,104.0,2019.0,6.0,358.0,0.7430167597765364,0.20949720670391062,0.0335195530726257,69132.514
3.0,104.0,2019.0,7.0,362.0,0.7375690607734806,0.212707182320442,0.03591160220994475,70663.16
3.0,104.0,2019.0,8.0,371.0,0.728494623655914,0.21505376344086022,0.04032258064516129,78358.65
